1094740306740817927,13657922,5031,151461,913,2314,93721,2008-02-19 04:56:13,2,5,2019-02-10 23:30:03,Two are headed to Harvard. Two are fighting for their jobs. But all who rose to prominence in the painful days and… https://t.co/Lsah1gK9iH
1094728972141817856,13657922,5031,151461,913,2314,93721,2008-02-19 04:56:13,0,0,2019-02-10 22:45:00,How do you get taste buds dancing during music's biggest night? https://t.co/QsLCJnRgzC
1094717655863439374,13657922,5031,151461,913,2314,93721,2008-02-19 04:56:13,3,5,2019-02-10 22:00:02,"Tennessee doctors prescribed needless medicinal cream, costing more than $14,000 per prescription, to California Ma… https://t.co/xWFF3XeHaq"
1094715870797021184,13657922,5031,151461,913,2314,93721,2008-02-19 04:56:13,2,0,2019-02-10 21:52:57,RT @dmrcaucus: Klobuchar won re-election to a third term in 2018 with 60 percent of the vote in a state that President Donald Trump only lo…
1094706321268621312,13657922,5031,151461,913,2314,93721,2008-02-19 04:56:13,6,16,2019-02-10 21:15:00,"""When we get to 2020 — Donald Trump may not even be president. In fact, he may not even be a free person,"" she said… https://t.co/GiSP8h6tw1"
1094706319637004290,13657922,5031,151461,913,2314,93721,2008-02-19 04:56:13,6,0,2019-02-10 21:14:59,"RT @RachelSB: ""When we get to 2020 — Donald Trump may not even be president. In fact, he may not even be a free person,"" Warren said in Ced…"
1094706287231860737,13657922,5031,151461,913,2314,93721,2008-02-19 04:56:13,4,0,2019-02-10 21:14:52,RT @KimNorvellDMR: Elizabeth Warren suggests Trump 'may not even be a free person' by 2020 https://t.co/i1GMxC9zTU via @DMRegister
1094706215408537600,13657922,5031,151461,913,2314,93721,2008-02-19 04:56:13,7,0,2019-02-10 21:14:35,RT @RachelSB: Klobuchar will be in Iowa on Feb. 21. https://t.co/WbuGw3e5EX via @DMRegister
1094706189491945473,13657922,5031,151461,913,2314,93721,2008-02-19 04:56:13,4,0,2019-02-10 21:14:28,RT @RachelSB: Amy Klobuchar heats up 2020 race with presidential campaign announcement on freezing Minneapolis afternoon https://t.co/DzJMS…
1094702548253057025,13657922,5031,151461,913,2314,93721,2008-02-19 04:56:13,0,3,2019-02-10 21:00:00,"Like all good book clubs, the festival is 50 percent literature discussion and 50 percent party. 📚https://t.co/LR4wUptwBw"
1094698352581771264,13657922,5031,151461,913,2314,93721,2008-02-19 04:56:13,2,18,2019-02-10 20:43:20,"Klobuchar is hoping her working-class, Midwestern background will help her seize the middle ground in a Democratic… https://t.co/uYQQhBoyz5"
1094694997247623168,13657922,5031,151461,913,2314,93721,2008-02-19 04:56:13,1,5,2019-02-10 20:30:00,The second winning lottery ticket sold in Iowa this year was purchased at a pretty popular grocery store. https://t.co/xtkTq5PKE5
1094687449580740609,13657922,5031,151461,913,2314,93721,2008-02-19 04:56:13,1,2,2019-02-10 20:00:00,Who will make fashion history at this year's Grammy Awards? https://t.co/UKOMbVPhEj
1094679898696962048,13657922,5031,151461,913,2314,93721,2008-02-19 04:56:13,0,1,2019-02-10 19:30:00,Are you one of the hundreds of MidAmerican customers in Des Moines still without power? Officials say the lights sh… https://t.co/PKi2l11jOt
1094679475965562880,13657922,5031,151461,913,2314,93721,2008-02-19 04:56:13,2,0,2019-02-10 19:28:19,RT @kelsey_kremer: A few photos from @ewarren's first stop in Iowa after officially announcing her presidential campaign. About 200 people…
1094672364674183168,13657922,5031,151461,913,2314,93721,2008-02-19 04:56:13,0,0,2019-02-10 19:00:04,"Can the Cyclones get back into the fray for a Big 12 title? Absolutely, Randy writes, but here's what it's going to… https://t.co/W27GqODA0A"
1094657269411631104,13657922,5031,151461,913,2314,93721,2008-02-19 04:56:13,5,4,2019-02-10 18:00:05,"We'll be updating these brackets all week long, so bookmark this link now!

Who's ready to have some #iahswr fun?… https://t.co/PqMnK3DBTe"
1094652924423213056,13657922,5031,151461,913,2314,93721,2008-02-19 04:56:13,1,0,2019-02-10 17:42:49,".@KimNorvellDMR, @brianneDMR and @kelsey_kremer are covering @ewarren's rally in Cedar Rapids this morning, if you'… https://t.co/HUd30mfkUX"
1094645924482162688,13657922,5031,151461,913,2314,93721,2008-02-19 04:56:13,2,4,2019-02-10 17:15:00,"From opinion: A possibility now exists to utilize exhibits like Mind Matters to revolutionize understanding, preven… https://t.co/S1CFVvZoV8"
1094641396575809537,13657922,5031,151461,913,2314,93721,2008-02-19 04:56:13,2,16,2019-02-10 16:57:01,👋❄️☃️ https://t.co/DUUS4WX9H2
1094638374210727939,13657922,5031,151461,913,2314,93721,2008-02-19 04:56:13,5,4,2019-02-10 16:45:00,Jason Ogletree says he needs treatment after two traumatic injuries in Afghanistan. But now the Purple Heart recipi… https://t.co/DE3djq5Eyf
1094615743583436801,13657922,5031,151461,913,2314,93721,2008-02-19 04:56:13,0,1,2019-02-10 15:15:04,"@Antoinette0x53 @bpmilne For tech coverage, your best bets would be @kevinmhardy and @KimNorvellDMR."
1094615725166284801,13657922,5031,151461,913,2314,93721,2008-02-19 04:56:13,0,10,2019-02-10 15:15:00,#NightToShine in Ankeny is a night to remember! ❤️📸 https://t.co/DOk4FNa0R6
1094596853042171909,13657922,5031,151461,913,2314,93721,2008-02-19 04:56:13,0,5,2019-02-10 14:00:01,A legal fight with the world’s richest person could prove devastating. https://t.co/HPXuT5dHR8
1094585526173224960,13657922,5031,151461,913,2314,93721,2008-02-19 04:56:13,1,10,2019-02-10 13:15:00,Cory Booker traces his roots to the Iowa coal-mining town of Buxton. https://t.co/BrOF6suGj0
1094449631558320128,13657922,5031,151461,913,2314,93721,2008-02-19 04:56:13,2,11,2019-02-10 04:15:00,"Selected by ski patrollers as puppies, these rescue dogs begin training when they are a few months old. https://t.co/d1VT93dVRe"
1094442079881756673,13657922,5031,151461,913,2314,93721,2008-02-19 04:56:13,2,6,2019-02-10 03:45:00,"Is there a chance you'll see the Hawkeyes playing at Wells Fargo when March Madness begins? It may be a long shot,… https://t.co/S7ywEBPEUc"
1094426982471950336,13657922,5031,151461,913,2314,93721,2008-02-19 04:56:13,15,46,2019-02-10 02:45:00,"From opinion: ""The underinvestment in education, the attacks on public employees, it’s all been pushing us to the p… https://t.co/b9PqIfyGSS"
1094419431017582595,13657922,5031,151461,913,2314,93721,2008-02-19 04:56:13,0,1,2019-02-10 02:15:00,"In divorcing, millennials face an array of changes — decoupling on social media, swiping through dating apps and us… https://t.co/Du9w4fa40c"
